Name,ASCII Name,Alternate Names,Latitude,Longitude,Feature Class,Feature Code,Country Code,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,Country
Konganāpuram,Konganapuram,"Konganapuram,Konganāpuram",11.57105,77.9004,P,PPL,IN,,25,608,,,8331,,232,Asia/Kolkata,07-05-2017,India
Konch,Konch,"Konch,Kunch,Kūnch",25.99451,79.15127,P,PPL,IN,,36,165,,,52773,,160,Asia/Kolkata,14-10-2014,India
Koch Bihār,Koch Bihar,"COH,Cooch Behar,Koch Bihar,Koch Bihār,Kuch Bihar,Kuch Bihār",26.32539,89.44508,P,PPL,IN,,28,329,,,78737,,47,Asia/Kolkata,10-06-2020,India
Kishanganj,Kishanganj,"Kishanganj,Kishanganj Bazar",26.10224,87.95534,P,PPL,IN,,34,210,,,94807,,57,Asia/Kolkata,11-02-2016,India
Kasauli,Kasauli,"Ambala,Ambāla,Kasauli,Kosauli",30.89856,76.96587,P,PPL,IN,,11,31,,,5215,,1858,Asia/Kolkata,13-10-2014,India
Kakrāla,Kakrala,"Kakrala,Kakrāla",27.89269,79.1945,P,PPL,IN,,36,149,,,35690,,167,Asia/Kolkata,14-10-2014,India
Kachhwa,Kachhwa,"Kachhwa,Kachhwā",25.20615,82.71442,P,PPL,IN,,36,199,,,15381,,82,Asia/Kolkata,07-08-2015,India
Jhalidā,Jhalida,,23.36545,85.97643,P,PPL,IN,,28,340,,,18057,,298,Asia/Kolkata,02-08-2017,India
Jetpur,Jetpur,Jetpur,21.75482,70.62347,P,PPL,IN,,9,476,,,118068,,92,Asia/Kolkata,13-10-2014,India
Jejūri,Jejuri,"Jejuri,Jejūri",18.27658,74.16008,P,PPL,IN,,16,521,,,14063,,729,Asia/Kolkata,13-10-2014,India
Jaorā,Jaora,"Jaora,Jaorā",23.63783,75.12711,P,PPL,IN,,35,434,,,67203,,473,Asia/Kolkata,14-10-2014,India
Jālna,Jalna,"Jalna,Jālna,jalna,jalnہ,jlna,جالنا,جالنہ,جلنا",19.84102,75.88636,P,PPL,IN,,16,514,,,262034,,504,Asia/Kolkata,29-03-2019,India
Jaleshwar,Jaleshwar,"Jaleshwar,Jaleswar",21.80176,87.2225,P,PPL,IN,,21,377,,,23280,,15,Asia/Kolkata,14-10-2014,India
